,nome,link,indirizzo,sito,facebook,telefono
63,Salvatore Ravello 1958,https://www.tripadvisor.it/Restaurant_Review-g194873-d1034537-Reviews-Salvatore_Ravello_1958-Ravello_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via della Repubblica 2, 84010, Ravello Italia",http://www.salvatoreravello.com,, 089 857227
64,Midnight Sun Bar,https://www.tripadvisor.it/Restaurant_Review-g580202-d2160779-Reviews-Midnight_Sun_Bar-Minori_Amalfi_Coast_Province_of_Salerno_Campania.html,"Traversa Umberto 1 no. 3, Minori Italia",http://www.midnightsunsf.com,, 328 335 2896
65,Pastificio Cuomo,https://www.tripadvisor.it/Restaurant_Review-g1149890-d12594233-Reviews-Pastificio_Cuomo-Gragnano_Province_of_Naples_Campania.html,"Via Roma 33, 80054 Gragnano Italia",http://pastacuomo.com,, 081 060 1402
66,Casa Mandina,https://www.tripadvisor.it/Restaurant_Review-g194806-d18379803-Reviews-Casa_Mandina-Maiori_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via Casa Mannini, 10 Corso Centrale, 84010, Maiori Italia",https://casamandina.it,, 089 851620
67,Il Pinguino,https://www.tripadvisor.it/Restaurant_Review-g580208-d1837885-Reviews-Pinguino-Scala_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via Frate Gerardo Sasso, 9, 84010 Scala Italia",http://www.pinguinobb.it/e,, 089 857304
68,Locanda Moresca,https://www.tripadvisor.it/Restaurant_Review-g194873-d6924903-Reviews-Locanda_Moresca-Ravello_Amalfi_Coast_Province_of_Salerno_Campania.html,"Piazza Fontana Moresca 8, 84010, Ravello Italia",http://www.lamorescaravello.com/it/cucin,, 089 857912
69,Gusto Artigianale,https://www.tripadvisor.it/Restaurant_Review-g194806-d12410123-Reviews-Gusto_Artigianale-Maiori_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via Casa Mannini, 13, 84010, Maiori Italia",,https://www.facebook.com/GustoArtigianale, 340 289 8068
70,Enotavola - Wine bar - Palazzo della Marra,https://www.tripadvisor.it/Restaurant_Review-g194873-d6691553-Reviews-Enotavola_Wine_bar_Palazzo_della_Marra-Ravello_Amalfi_Coast_Province_of_Salerno_C.html,"Via della Marra 7, 84010, Ravello Italia",http://www.winebaravello.it,, 089 857482
71,Adamo ed Eva by Eden Roc,https://www.tripadvisor.it/Restaurant_Review-g194863-d3168945-Reviews-Adamo_ed_Eva_by_Eden_Roc-Positano_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via G. Marconi 110, 84017, Positano Italia",,,
72,Le Arcate,https://www.tripadvisor.it/Restaurant_Review-g635619-d1034463-Reviews-Le_Arcate-Atrani_Amalfi_Coast_Province_of_Salerno_Campania.html,"Largo Orlando Buonocore, 84010 Atrani Italia",http://www.learcateatrani.it,, 089 871367
73,Trattoria Rispoli,https://www.tripadvisor.it/Restaurant_Review-g5011036-d1602812-Reviews-Trattoria_Rispoli-Pogerola_Amalfi_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via Riulo 3, 84011 Pogerola, Amalfi Italia",,http://www.facebook.com/pages/Osteria-Rispoli-Le-signorine/11336502541380, 089 830080
74,Chiosco Bar S. Francesco,https://www.tripadvisor.it/Restaurant_Review-g194806-d4472433-Reviews-Chiosco_Bar_S_Francesco-Maiori_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via lungomare Amendola, 84010, Maiori Italia",,https://www.facebook.com/chioscobar.s.francesc, 335 661 1876
75,Zi' Carmine,https://www.tripadvisor.it/Restaurant_Review-g580201-d4000289-Reviews-Zi_Carmine-Agerola_Province_of_Naples_Campania.html,"Via Fontana 59, 80051, Agerola Italia",http://www.agriturismozicarmine.com,, 081 802 5032
76,Ristorante Pizzeria Sant'Andrea,https://www.tripadvisor.it/Restaurant_Review-g187780-d1232867-Reviews-Ristorante_Pizzeria_Sant_Andrea-Amalfi_Amalfi_Coast_Province_of_Salerno_Campania.html,"Piazza Duomo, 26, 84011, Amalfi Italia",,,
77,Ohima' Restaurant,https://www.tripadvisor.it/Restaurant_Review-g194863-d14098781-Reviews-Ohima_Restaurant-Positano_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via Cristoforo Colombo, 17 Piazza dei Mulini, 84017, Positano Italia",,,
78,Ristorante Leonardo'S,https://www.tripadvisor.it/Restaurant_Review-g580201-d3298034-Reviews-Ristorante_Leonardo_s-Agerola_Province_of_Naples_Campania.html,"Via Miramare, 17, 80051, Agerola Italia",http://www.ristoranteleonardos.e,, 081 802 5002
79,Ristorante Rossellinis,https://www.tripadvisor.it/Restaurant_Review-g194873-d1020361-Reviews-Rossellinis_Restaurant-Ravello_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via San Giovanni del Toro 28 Palazzo Avino, 84010, Ravello Italia",http://www.palazzoavino.com/en/Dining/Rossellinit,, 089 818181
80,Le Nereidi Amalfi,https://www.tripadvisor.it/Restaurant_Review-g187780-d8423134-Reviews-Le_Nereidi-Amalfi_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via Tuoro, 8, 84011, Amalfi Italia",,,
81,Ristorante Pizzeria Giardiniello,https://www.tripadvisor.it/Restaurant_Review-g580202-d1473087-Reviews-Ristorante_Pizzeria_Giardiniello-Minori_Amalfi_Coast_Province_of_Salerno_Campania.html,"Corso Vittorio Emanuele 17, 84010 Minori Italia",http://www.ristorantegiardiniello.com,, 089 877050
82,Vittoria,https://www.tripadvisor.it/Restaurant_Review-g194873-d743380-Reviews-Vittoria-Ravello_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via Dei Rufolo 3, 84010, Ravello Italia",http://www.ristorantepizzeriavittoria.it,, 089 857947
83,Bella Vista sul Mare,https://www.tripadvisor.it/Restaurant_Review-g194873-d1764336-Reviews-Bella_Vista_sul_Mare-Ravello_Amalfi_Coast_Province_of_Salerno_Campania.html,"Piazza Fontana Moresca 5 Hotel Bonadies, 84010, Ravello Italia",http://www.thefork.it/ristorante/bella-vista-sul-mare/38338,, 089 857918
